strain,GISAID_id
A/South Africa/R07568/2023,EPI_ISL_18215929
A/South Africa/R07555/2023,EPI_ISL_18215928
A/South Africa/R07723/2023,EPI_ISL_18215930
A/Krabi/THIS058/2023,EPI_ISL_18320359
A/Valladolid/50/2022,EPI_ISL_17223670
A/Krabi/THIS057/2023,EPI_ISL_18320358
A/Pennsylvania/PA220822/2023,EPI_ISL_18245607
A/Krabi/THIS055/2023,EPI_ISL_18320357
A/Krabi/THIS053/2023,EPI_ISL_18320356
A/Bangkok/P3653/2023,EPI_ISL_18320367
A/Macedonia/IPH-MKD-378SARI/2022,EPI_ISL_16699906
A/Seoul/1213/2023,EPI_ISL_18231830
A/Abu Dhabi/7909/2023,EPI_ISL_18108948
A/Victoria/119/2023,EPI_ISL_17612300
A/Abu Dhabi/6753/2023,EPI_ISL_18108949
A/Canberra/12/2023,EPI_ISL_17612301
A/Abu Dhabi/8152/2023,EPI_ISL_18108950
A/South Australia/33/2023,EPI_ISL_17612302
A/Rak/8132/2023,EPI_ISL_18108951
A/Darwin/10/2023,EPI_ISL_17612303
A/Seoul/1130/2023,EPI_ISL_18231826
A/Maldives/948/2023,EPI_ISL_18108944
A/Shanxi-Yingze/135/2023,EPI_ISL_18069015
A/Victoria/129/2023,EPI_ISL_17612296
A/California/68/2023,EPI_ISL_18108946
A/Xinjiang-Atushi/1251/2023,EPI_ISL_18069013
A/Darwin/35/2023,EPI_ISL_17612298
A/Seoul/1126/2023,EPI_ISL_18231825
A/Abu Dhabi/6867/2023,EPI_ISL_18108947
A/Seoul/917/2023,EPI_ISL_18231838
A/South Africa/R04563/2023,EPI_ISL_17891864
A/South Australia/36/2023,EPI_ISL_17612293
A/Victoria/143/2023,EPI_ISL_17612295
A/Ontario/RV00796/2023,EPI_ISL_18234906
A/Finland/400/2023,EPI_ISL_18237979
A/Manitoba/RV00802/2023,EPI_ISL_18234907
A/Abu Dhabi/8006/2023,EPI_ISL_18108953
A/Victoria/194/2023,EPI_ISL_17612289
A/Victoria/182/2023,EPI_ISL_17612290
A/Seoul/1226/2023,EPI_ISL_18231833
A/Maldives/833/2023,EPI_ISL_18108932
A/Maldives/817/2023,EPI_ISL_18108933
A/Maldives/823/2023,EPI_ISL_18108934
A/Seoul/1082/2023,EPI_ISL_18231813
A/Maldives/782/2023,EPI_ISL_18108935
A/Maldives/787/2023,EPI_ISL_18108928
A/Maldives/938/2023,EPI_ISL_18108929
A/Malaysia/RP0270/2022,EPI_ISL_17981959
A/Maldives/851/2023,EPI_ISL_18108930
A/India/GIHSN-HCL023020802201/2022,EPI_ISL_16868887
A/Maldives/953/2023,EPI_ISL_18108931
A/Seoul/1086/2023,EPI_ISL_18231822
A/Maldives/908/2023,EPI_ISL_18108940
A/Maldives/766/2023,EPI_ISL_18108941
A/Victoria/613/2023,EPI_ISL_17981963
A/South Australia/43/2023,EPI_ISL_17612309
A/Maldives/980/2023,EPI_ISL_18108942
A/Maldives/797/2023,EPI_ISL_18108943
A/Victoria/502/2023,EPI_ISL_17981961
A/Seoul/1085/2023,EPI_ISL_18231818
A/Maldives/839/2023,EPI_ISL_18108936
A/Ulsan/1447/2023,EPI_ISL_18506247
A/Maldives/849/2023,EPI_ISL_18108937
A/Maldives/991/2023,EPI_ISL_18108938
A/Sydney/86/2023,EPI_ISL_17981964
A/Maldives/1074/2023,EPI_ISL_18108939
A/Victoria/134/2023,EPI_ISL_17612332
A/India/GIHSN-HCL023021258801/2023,EPI_ISL_16868897
A/India/GIHSN-HCL023021253601/2023,EPI_ISL_16868896
A/Sydney/639/2023,EPI_ISL_18165303
A/India/GIHSN-HCL023021265301/2023,EPI_ISL_16868899
A/India/GIHSN-HCL023021278401/2023,EPI_ISL_16868901
A/India/GIHSN-HCL023021272001/2023,EPI_ISL_16868900
A/Ulsan/999/2023,EPI_ISL_18231856
A/India/GIHSN-HCL023021283601/2023,EPI_ISL_16868902
A/Netherlands/01747/2023,EPI_ISL_18500146
A/SouthAfrica/PET28103/2023,EPI_ISL_18128447
A/Netherlands/01742/2023,EPI_ISL_18500142
A/Xinjiang-Kelamayi/1176/2023,EPI_ISL_18069030
A/Solwezi/13-NIC-044/2023,EPI_ISL_18380334
A/Ulsan/1250/2023,EPI_ISL_18231852
A/South Africa/R00407/23,EPI_ISL_18167343
A/Victoria/176/2023,EPI_ISL_17612337
A/Sydney/543/2023,EPI_ISL_18165334
A/Sydney/510/2023,EPI_ISL_18165340
A/Sydney/514/2023,EPI_ISL_18165336
A/Sydney/513/2023,EPI_ISL_18165338
A/Seoul/176/2022,EPI_ISL_16922194
A/Sydney/669/2023,EPI_ISL_18165316
A/Seoul/177/2022,EPI_ISL_16922195
A/Seoul/142/2022,EPI_ISL_16922192
A/Seoul/165/2022,EPI_ISL_16922193
A/SouthAfrica/PET28055/2023,EPI_ISL_18128449
A/Seoul/178/2022,EPI_ISL_16922196
A/Ulsan/179/2022,EPI_ISL_16922202
A/Surat Thani/NIC-P3614/2022,EPI_ISL_15610805
A/Ulsan/65/2022,EPI_ISL_16922207
A/Ulsan/603/2023,EPI_ISL_16922205
A/Ulsan/683/2023,EPI_ISL_16922208
A/Victoria/775/2023,EPI_ISL_18165361
A/Vermont/21/2022,EPI_ISL_16831078
A/Sydney/250/2023,EPI_ISL_18165362
A/Bangkok/P2741/2023,EPI_ISL_18133606
A/Murcia/2004/2023,EPI_ISL_18501225
A/Bangkok/P2761/2023,EPI_ISL_18133607
A/Abu Dhabi/0002946/2022,EPI_ISL_15928199
A/Daegu/79/2022,EPI_ISL_16922229
A/Bangkok/P2865/2023,EPI_ISL_18133608
A/South Africa/R02589/2023,EPI_ISL_18165352
A/Bangkok/P2881/2023,EPI_ISL_18133609
A/California/124/2022,EPI_ISL_15724434
A/India/Pun-NIVCOV2225458/Dec2022,EPI_ISL_16970370
A/India/Pun-NIVCOV2223345/Sep2022,EPI_ISL_16970371
A/India/Pun-NIVSARI2643/Sep2022,EPI_ISL_16970372
A/India/Pun-NIVCOV2223179/Aug2022,EPI_ISL_16970373
A/Chipata/14-NIC-010/2023,EPI_ISL_18316957
A/India/Pun-NIVCOV2222530/Aug2022,EPI_ISL_16970376
A/Singapore/GP3673/2023,EPI_ISL_17980080
A/South Africa/K056865/2023,EPI_ISL_18147001
A/Sri Lanka/31/2023,EPI_ISL_18242215
A/India/Pun-NIV225293/Oct2022,EPI_ISL_16970421
A/India/Pun-NIVCOV23183/Jan2023,EPI_ISL_16970426
A/India/Pun-NIVCOV23239/Jan2023,EPI_ISL_16970427
A/India/Pun-NIVCOV2225304/Nov2022,EPI_ISL_16970424
A/Sri Lanka/42/2023,EPI_ISL_18242221
A/Sri Lanka/34/2023,EPI_ISL_18242218
A/Singapore/GP3443/2023,EPI_ISL_17980078
A/India/Pun-NIVCOV23224/Jan2023,EPI_ISL_16970429
A/Singapore/KK0517/2023,EPI_ISL_17965779
A/Singapore/NUH0128/2022,EPI_ISL_17965783
A/Singapore/KK0518/2023,EPI_ISL_17965780
A/Delaware/50/2023,EPI_ISL_17981147
A/Singapore/TT0223/2022,EPI_ISL_17965787
A/South Africa/R06352/2023,EPI_ISL_18106075
A/Seoul/761/2023,EPI_ISL_17150677
A/Seoul/699/2023,EPI_ISL_17150675
A/SHIMANE/1/2022,EPI_ISL_16545579
A/Netherlands/00090/2023,EPI_ISL_16585505
A/Sydney/584/2023,EPI_ISL_18214600
A/Norway/09926/2023,EPI_ISL_18450118
A/Singapore/KK0221/2023,EPI_ISL_17965810
A/HongKong/1540/2023,EPI_ISL_18167536
A/Singapore/GP1652/2023,EPI_ISL_17965815
A/TOKYO/QRTHND092/2023,EPI_ISL_17952500
A/Singapore/GP1582/2023,EPI_ISL_17965813
A/Netherlands/00059/2023,EPI_ISL_16585498
A/California/83/2023,EPI_ISL_18374384
A/Singapore/GP1654/2023,EPI_ISL_17965816
A/Townsville/44/2023,EPI_ISL_17957624
A/Delaware/47/2023,EPI_ISL_17625830
A/Sydney/706/2023,EPI_ISL_18214654
A/SouthSudan/651/2023,EPI_ISL_18325243
A/California/81/2023,EPI_ISL_18374389
A/Sydney/651/2023,EPI_ISL_18214648
A/Colorado/57/2023,EPI_ISL_18374391
A/Georgia/45/2023,EPI_ISL_18374377
A/Colorado/58/2023,EPI_ISL_18374378
A/Wisconsin/62/2023,EPI_ISL_18374380
A/Sydney/160/2023,EPI_ISL_17957606
A/Hawaii/23/2023,EPI_ISL_17981159
A/Singapore/KK0037/2023,EPI_ISL_17965799
A/Georgia/46/2023,EPI_ISL_18374382
A/Hong Kong/1546/2023,EPI_ISL_18215651
A/Abu Dhabi/4626/2023,EPI_ISL_17981156
A/Sydney/138/2023,EPI_ISL_17957604
A/Hong Kong/1536/2023,EPI_ISL_18215650
A/Kentucky/11/2023,EPI_ISL_18374383
A/Abu Dhabi/5302/2023,EPI_ISL_17981157
A/HongKong/1537/2023,EPI_ISL_18167533
A/Singapore/KK0162/2023,EPI_ISL_17965802
A/HongKong/1535/2023,EPI_ISL_18167532
A/Singapore/TT0007/2023,EPI_ISL_17965803
A/HongKong/1539/2023,EPI_ISL_18167535
A/South Africa/R06371/2023,EPI_ISL_18106094
A/Iowa/31/2023,EPI_ISL_17981160
A/Singapore/KK0100/2023,EPI_ISL_17965800
A/HongKong/1538/2023,EPI_ISL_18167534
A/HongKong/1543/2023,EPI_ISL_18167529
A/HongKong/1542/2023,EPI_ISL_18167531
A/Wisconsin/61/2023,EPI_ISL_18374374
A/Singapore/TT0024/2023,EPI_ISL_17965804
A/St.Petersburg/CRIE/3/2023,EPI_ISL_18397927
A/HongKong/1544/2023,EPI_ISL_18167530
A/Abu Dhabi/6753/2023,EPI_ISL_18108949
A/Guangdong-Futian/1980/2023,EPI_ISL_18068497
A/Finland/391/2023,EPI_ISL_18237971
A/TECPAN/017FLU/2023,EPI_ISL_18500240
A/Saskatchewan/SKFLU317847/2023,EPI_ISL_18245532
A/Finland/399/2023,EPI_ISL_18237978
A/Ontario/RV00796/2023,EPI_ISL_18234906
A/South Africa/R06506/2023,EPI_ISL_18106136
A/YAMAGATA/98/2023,EPI_ISL_17995548
A/Chipata/15-NIC-001/2023,EPI_ISL_18330649
A/Singapore/NUH0526/2023,EPI_ISL_17974657
A/Sydney/710/2023,EPI_ISL_18214657
A/Surat Thani/P152/2023,EPI_ISL_16645225
A/Catalonia/NSVH102124476/2023,EPI_ISL_18218240
A/Sydney/715/2023,EPI_ISL_18214659
A/Schleswig-Holstein/4/2023,EPI_ISL_18489218
A/South Africa/R05384/2023,EPI_ISL_18041737
A/SENDAI/45/2023,EPI_ISL_18390020
A/South Africa/R05510/2023,EPI_ISL_18105992
A/South Africa/R06477/2023,EPI_ISL_18106121
A/Netherlands/01693/2023,EPI_ISL_18373304
A/Saint-Petersburg/RII-166/2023,EPI_ISL_18430013
A/Bhutan/0845/2023,EPI_ISL_18451772
A/Oman/3011/2023,EPI_ISL_18303922
A/South Africa/K056872/2023,EPI_ISL_18147005
A/KANAGAWA/AC2316/2023,EPI_ISL_18454576
A/Georgia/40/2023,EPI_ISL_18303933
A/Victoria/1033/2023,EPI_ISL_18100538
A/SouthSudan/642/2023,EPI_ISL_18337190
A/SOUTH AFRICA/R07876/202023,EPI_ISL_18230436
A/South Africa/K056863/2023,EPI_ISL_18161070
A/Catalonia/2041146NS/2023,EPI_ISL_18430812
A/Netherlands/01685/2023,EPI_ISL_18294238
A/South Africa/R07073/2023,EPI_ISL_18215900
A/Jeju/1047/2023,EPI_ISL_18231773
A/South Africa/R06240/2023,EPI_ISL_18106079
A/Bhutan/0006/2023,EPI_ISL_17699909
A/Solwezi/13-NIC-001/2023,EPI_ISL_18377815
A/Samut Songkhram/THIS061/2023,EPI_ISL_18320344
A/SouthAfrica/PET28931/2023,EPI_ISL_18130375
A/Brisbane/429/2023,EPI_ISL_18485057
A/KANAGAWA/IC2239/2023,EPI_ISL_18030670
A/Sydney/749/2023,EPI_ISL_18465607
A/EHIME/50/2023,EPI_ISL_18366331
A/Netherlands/01760/2023,EPI_ISL_18509055
A/Bangkok/P3755/2023,EPI_ISL_18320368
A/Bhutan/FLU-BTG-00988/2022,EPI_ISL_18366320
A/SouthSudan/631/2023,EPI_ISL_18325247
A/Wisconsin/27/2023,EPI_ISL_17391841
A/Maldives/852/2023,EPI_ISL_18108925
A/Sydney/332/2023,EPI_ISL_18013054
A/California/81/2023,EPI_ISL_18374389
A/South Dakota/22/2023,EPI_ISL_17391847
A/South Africa/R07188/2023,EPI_ISL_18215908
A/Luga/RII-11393S/2023,EPI_ISL_17674748
A/Townsville/68/2023,EPI_ISL_18246501
A/South Africa/R06359/2023,EPI_ISL_18106081
A/Krabi/THIS050/2023,EPI_ISL_18320353
A/Romania/543634/2022,EPI_ISL_16590474
A/Bangkok/P3599/2023,EPI_ISL_18320366
A/Busan/1301/2023,EPI_ISL_18506208
A/Malaysia/IMR-SARI1989/2023 ,EPI_ISL_18361442
A/Fiji/43/2022,EPI_ISL_12206267
A/Bahrain/6896/2022,EPI_ISL_14862570
A/Victoria/5198/2022,EPI_ISL_16613621
A/Victoria/6/2022,EPI_ISL_13168835
A/Bahrain/7635/2022,EPI_ISL_14862573
A/Bahrain/3655/2022,EPI_ISL_14862578
A/Bahrain/9884/2022,EPI_ISL_14862577
A/Fiji/61/2022,EPI_ISL_12206249
A/Thailand/2088/2022,EPI_ISL_15288575
A/Bahrain/1135/2022,EPI_ISL_14862580
A/Newcastle/4/2022,EPI_ISL_12206252
A/Ayuttaya/4/2022,EPI_ISL_15288574
A/Victoria/5/2022,EPI_ISL_12206253
A/Fiji/52/2022,EPI_ISL_12206247
A/Toliary/03921/2022,EPI_ISL_14653691
A/Austria/MUW1572306/2022,EPI_ISL_16212178
A/Toliary/03324/2022,EPI_ISL_14653685
A/Thueringen/24/2022,EPI_ISL_14926035
A/Pennsylvania/37/2023,EPI_ISL_17391930
A/Montana/22/2023,EPI_ISL_17391921
A/Colorado/31/2022,EPI_ISL_14862555
A/Santiago/81254/2022,EPI_ISL_14928089
A/Uganda/1842/2022,EPI_ISL_16836925
A/Michigan/41/2022,EPI_ISL_14862556
A/England/224660763/2022,EPI_ISL_16652479
A/Thueringen/23/2022,EPI_ISL_14925986
A/Denmark/79/2022,EPI_ISL_10803426
A/OKINAWA/197/2022,EPI_ISL_17244495
A/OKINAWA/196/2022,EPI_ISL_17244494
A/OKINAWA/193/2022,EPI_ISL_17244492
A/SAPPORO/1/2022,EPI_ISL_15534242
A/Bahrain/3053/2022,EPI_ISL_15929505
A/Neimenggu-Wulanhaote/117/2023,EPI_ISL_17416538
A/Bahrain/2006/2022,EPI_ISL_15929504
A/Shanghai-Hongkou/1736/2022,EPI_ISL_17416540
A/HYOGO/4010/2022,EPI_ISL_15534264
A/Bahrain/9660/2022,EPI_ISL_15929509
A/HYOGO/4002/2022,EPI_ISL_15534263
A/OSAKA/2/2022,EPI_ISL_17244504
A/Bahrain/0167/2022,EPI_ISL_15929491
A/Thailand/2188/2022,EPI_ISL_15288461
A/Thailand/2081/2022,EPI_ISL_15288460
A/Bahrain/2648/2022,EPI_ISL_15929502
A/Thailand/2220/2022,EPI_ISL_15288452
A/Bahrain/5227/2022,EPI_ISL_15929500
A/Okinawa/22T001/2022,EPI_ISL_17981794
A/Okinawa/22T002/2022,EPI_ISL_17981795
A/Tokyo/22FS090/2022,EPI_ISL_17981793
A/Wisconsin/68/2022,EPI_ISL_15929478
A/Thueringen/22/2022,EPI_ISL_14925974
A/Newcastle/3/2022,EPI_ISL_12206275
A/Thailand/1489/2022,EPI_ISL_15288466
A/Fiji/56/2022,EPI_ISL_12206273
A/Bahrain/1241/2022,EPI_ISL_15929487
A/Bahrain/5046/2022,EPI_ISL_15929486
A/New Hampshire/01/2023,EPI_ISL_17101178
A/Iceland/30826/2022,EPI_ISL_13203529
A/Iceland/35046/2022,EPI_ISL_13203534
A/Brest/932/2022,EPI_ISL_15364193
A/Norway/5044/2023,EPI_ISL_18008478
A/Costa_Rica/INC-0026-776599/2022,EPI_ISL_18137497
A/Lyon/854/2022,EPI_ISL_15364219
A/Washington/44/2022,EPI_ISL_15288443
A/Lyon/CHU/R22.285.92/2022,EPI_ISL_15364222
A/Lyon/CHU/R22.242.82/2022,EPI_ISL_15364220
A/Hawaii/33/2022,EPI_ISL_15288437
A/Austria/1553836/2022,EPI_ISL_15517810
A/Hawaii/34/2022,EPI_ISL_15288439
A/Yunnan-Zhenxiong/51/2023,EPI_ISL_17465771
A/Luga/RII-10734S/2023,EPI_ISL_17672617
A/Luga/RII-10733S/2023,EPI_ISL_17672616
A/Anhui-Qiaocheng/16/2023,EPI_ISL_17465775
A/Luga/RII-10738S/2023,EPI_ISL_17672618
A/Luga/RII-10727S/2023,EPI_ISL_17672613
A/Luga/RII-10726S/2023,EPI_ISL_17672612
A/Luga/RII-10731S/2023,EPI_ISL_17672615
A/Luga/RII-10728S/2023,EPI_ISL_17672614
A/Luga/RII-10725S/2023,EPI_ISL_17672611
A/Heilongjiang-Taoshan/186/2023,EPI_ISL_17465764
A/Saint-Petersburg/RII-9962S/2022,EPI_ISL_12107784
A/Saint-Petersburg/RII-10060S/2022,EPI_ISL_12107785
A/Valladolid/4550/2023,EPI_ISL_18008480
A/Saint-Petersburg/RII-10065S/2022,EPI_ISL_12107786
A/Saint-Petersburg/RII-10977S/2022,EPI_ISL_12107787
A/Saint-Petersburg/RII-10994S/2022,EPI_ISL_12107788
A/Jiangsu-Qingjiangpu/1128/2023,EPI_ISL_17465782
A/Victoria/260/2023,EPI_ISL_17775026
A/Saint-Petersburg/RII-9309S/2022,EPI_ISL_12107781
A/Yunnan-Simao/169/2023,EPI_ISL_17465780
A/Saint-Petersburg/RII-9318S/2022,EPI_ISL_12107782
A/Saint-Petersburg/RII-9681S/2022,EPI_ISL_12107783
A/Finland/340/2022,EPI_ISL_18237910
A/Finland/341/2022,EPI_ISL_18237911
A/Morocco/325/2022,EPI_ISL_13017095
A/Hawaii/28/2022,EPI_ISL_14727204
A/Sao Paulo/IAL/C10272/2022,EPI_ISL_16199730
A/Sao Paulo/IAL/C10270/2022,EPI_ISL_16199728
A/South Africa/R07144/2022,EPI_ISL_14870565
A/Finland/351/2022,EPI_ISL_18237919
A/Sao Paulo/IAL/C10277/2022,EPI_ISL_16199737
A/Sao Paulo/IAL/C10276/2022,EPI_ISL_16199736
A/Madagascar/837/2022,EPI_ISL_14727216
A/Sao Paulo/IAL/C10258/2022,EPI_ISL_16199717
A/Abu Dhabi/1962491/2022,EPI_ISL_14727218
A/Victoria/878/2022,EPI_ISL_14809138
A/Madagascar/796/2022,EPI_ISL_14727219
A/Sao Paulo/IAL/C10256/2022,EPI_ISL_16199715
A/Victoria/342/2023,EPI_ISL_17775066
A/Sao Paulo/IAL/C10255/2022,EPI_ISL_16199713
A/Luga/RII-11412S/2023,EPI_ISL_17674709
A/Sao Paulo/IAL/C10268/2022,EPI_ISL_16199727
A/Luga/RII-11398S/2023,EPI_ISL_17674708
A/Sao Paulo/IAL/C10267/2022,EPI_ISL_16199726
A/Sao Paulo/IAL/C10263/2022,EPI_ISL_16199723
A/Tennessee/05/2022,EPI_ISL_11958378
A/Sao Paulo/IAL/C10262/2022,EPI_ISL_16199722
A/Luga/RII-11394S/2023,EPI_ISL_17674707
A/Sao Paulo/IAL/C10261/2022,EPI_ISL_16199721
A/Sao Paulo/IAL/C10260/2022,EPI_ISL_16199720
A/YOKOHAMA/4/2022,EPI_ISL_17244642
A/Finland/375/2023,EPI_ISL_18237937
A/Sao Paulo/IAL/C10254/2022,EPI_ISL_16199711
A/Thailand/1/2022,EPI_ISL_14991372
A/Thailand/4/2022,EPI_ISL_14991373
A/Luga/RII-11393S/2023,EPI_ISL_17674748
A/South Africa/R07347/2022,EPI_ISL_14870547
A/Finland/356/2023,EPI_ISL_18237922
A/Lithuania/36696/2022,EPI_ISL_13203517
A/Ulsan/1360/2023,EPI_ISL_18506220
A/Lithuania/36119/2022,EPI_ISL_13203519
A/KAWASAKI/1/2022,EPI_ISL_17244656
A/Hungary/1/2022,EPI_ISL_9593232
A/Hungary/2/2022,EPI_ISL_9593233
A/New Hampshire/26/2022,EPI_ISL_16198139
A/Latvia/01-091445/2023,EPI_ISL_17608735
A/Texas/09/2023,EPI_ISL_17559582
A/United Kingdom/12630/2022,EPI_ISL_10863037
A/Bulgaria/945/2023,EPI_ISL_17100826
A/Puerto Rico/31/2022,EPI_ISL_16198121
A/Victoria/4312/2022,EPI_ISL_14467580
A/Khovd/60222/2022,EPI_ISL_14320123
A/Dundgobi/61039/2022,EPI_ISL_14320121
A/Sukhbaatar/52637/2022,EPI_ISL_14320127
A/Orkhon/2187/2022,EPI_ISL_14320125
A/KANAGAWA/AC2316/2023,EPI_ISL_18454576
A/OKAYAMA/4/2023,EPI_ISL_18454579
A/Utah/15/2023,EPI_ISL_17125417
A/Bulgaria/2712/2022,EPI_ISL_16836658
A/Victoria/195/2023,EPI_ISL_17811514
A/Croatia/101024/2022,EPI_ISL_16836663
A/VinaDelMar/116665/2022,EPI_ISL_17545266
A/Yunnan-Gejiu/327/2022,EPI_ISL_14033300
A/Zhejiang-Yongkang/1620/2022,EPI_ISL_14033301
A/Rondonia/IAL/C10445/2023,EPI_ISL_17514575
A/Yunnan-Qilin/1421/2022,EPI_ISL_14033299
A/Victoria/5066/2022,EPI_ISL_16003506
A/Zhejiang-Longwan/1419/2022,EPI_ISL_14033310
A/Zhejiang-Haishu/1587/2022,EPI_ISL_14033311
A/Zhejiang-Yongkang/1536/2022,EPI_ISL_14033308
A/Zhejiang-Longwan/1593/2022,EPI_ISL_14033309
A/Guangdong-Zhongshan/1443/2022,EPI_ISL_14033305
A/Neimenggu-Keerqin/121/2023,EPI_ISL_16873557
A/Neimenggu-Keerqin/125/2023,EPI_ISL_16873558
A/KANAGAWA/IC2240/2023,EPI_ISL_18030671
A/Shandong-Jiaozhou/1708/2022,EPI_ISL_16873565
A/TOKYO/23019/2023,EPI_ISL_18030668
A/Shandong-Jiaozhou/1735/2022,EPI_ISL_16873566
A/Hunan-hengyang/342/2022,EPI_ISL_14033334
A/Florida/11/2022,EPI_ISL_11956694
A/Shandong-Mudan/11080/2022,EPI_ISL_16873568
A/Shandong-Shibei/11507/2022,EPI_ISL_16873571
A/Shandong-Shibei/11486/2022,EPI_ISL_16873570
A/Shanghai-Huangpu/1637/2022,EPI_ISL_16873573
A/Shandong-Zhangdian/1730/2022,EPI_ISL_16873572
A/Sichuan-Beichuanqiangzuzizhi/32/2022,EPI_ISL_16873574
A/Finland/305/2022,EPI_ISL_16740760
A/Guizhou-xinyi/1715/2022,EPI_ISL_14033329
A/Sichuan-Dongpo/11206/2022,EPI_ISL_16873576
A/Zhejiang-longwan/1338/2022,EPI_ISL_14033340
A/Sichuan-Fucheng/12159/2022,EPI_ISL_16873578
A/Zhejiang-yongkang/1312/2022,EPI_ISL_14033338
A/Sichuan-Santai/11054/2022,EPI_ISL_16873580
A/Minieh/S0033/2023,EPI_ISL_16836717
A/Zhejiang-Gongshu/11193/2022,EPI_ISL_16873583
A/Zhejiang-Gongshu/11152/2022,EPI_ISL_16873582
A/Zhejiang-Jiaojiang/11041/2022,EPI_ISL_16873585
A/Hubei-Jiangan/1233/2022,EPI_ISL_14033318
A/Zhejiang-Jiaojiang/11017/2022,EPI_ISL_16873584
A/Finland/300/2022,EPI_ISL_16740750
A/Zhejiang-Nanhu/11279/2022,EPI_ISL_16873587
A/Zhejiang-Nanhu/11241/2022,EPI_ISL_16873586
A/Zhejiang-Dongtou/251/2022,EPI_ISL_14033317
A/Zhejiang-Shangcheng/11342/2022,EPI_ISL_16873589
A/Metn/S0077/2023,EPI_ISL_16836724
A/Rhode Island/70/2022,EPI_ISL_16380301
A/Hunan-liuyang/362/2022,EPI_ISL_14033314
A/Florida/10/2022,EPI_ISL_11956674
A/Zhejiang-Shangcheng/11308/2022,EPI_ISL_16873588
A/Sichuan-Guangan/1188/2022,EPI_ISL_14033315
A/Zhejiang-Shangcheng/1876/2022,EPI_ISL_16873591
A/Hunan-liuyang/357/2022,EPI_ISL_14033313
A/Zhejiang-Shangcheng/1915/2022,EPI_ISL_16873593
A/Zhejiang-Suichang/31/2022,EPI_ISL_16873595
A/MountLebanon/65/2023,EPI_ISL_16836730
A/North Lebanon/S0049/2023,EPI_ISL_16836733
A/South Africa/R04074/2023,EPI_ISL_17891472
A/South Carolina/20/2022,EPI_ISL_16380287
A/Oregon/10/2023,EPI_ISL_17100942
A/South Lebanon/44/2023,EPI_ISL_16836749
A/Victoria/5165/2022,EPI_ISL_16003426
A/Hong Kong/2/2022,EPI_ISL_14862714
A/Hong Kong/6/2022,EPI_ISL_14862713
A/Bahrain/5861/2022,EPI_ISL_14862718
A/Oman/3462/2022,EPI_ISL_14862717
A/Estonia/171947/2022,EPI_ISL_17223840
A/Estonia/171948/2022,EPI_ISL_17223841
A/Surat Thani/P227/2023,EPI_ISL_17266863
A/NIIGATA-C/23066/2023,EPI_ISL_18139327
A/Hainan-Baotinglizumiaozuzizhi/35/2022,EPI_ISL_14033275
A/Surat Thani/P278/2023,EPI_ISL_17266871
A/WAKAYAMA/1/2022,EPI_ISL_15980867
A/YAMAGUCHI/2/2022,EPI_ISL_15980865
A/Czech Republic/1874/2023,EPI_ISL_17658041
A/IBARAKI/1/2022,EPI_ISL_15980870
A/Nepal/S463/2023,EPI_ISL_18231471
A/FUKUOKA/FS21/2022,EPI_ISL_15980873
A/IBARAKI/3/2022,EPI_ISL_15980872
A/Abu Dhabi/7444/2022,EPI_ISL_16836801
A/Wisconsin/70/2022,EPI_ISL_15929650
A/Nevada/08/2022,EPI_ISL_11958647
A/Abu Dhabi/8342/2022,EPI_ISL_16836802
A/Tasmania/368/2022,EPI_ISL_16613685
A/New Jersey/58/2022,EPI_ISL_16380215
A/Bahrain/4883/2022,EPI_ISL_14862595
A/Timor-Leste/175/2022,EPI_ISL_14991623
A/North Dakota/20/2023,EPI_ISL_17391843
A/South Dakota/22/2023,EPI_ISL_17391847
A/Talca/84224/2022,EPI_ISL_15288582
A/Oman/3460/2022,EPI_ISL_14862605
A/South Australia/380/2022,EPI_ISL_16613645
A/Thailand/508/2022,EPI_ISL_15288600
A/Qatar/10-VI-22-1463000/2022,EPI_ISL_14795027
A/Tasmania/351/2022,EPI_ISL_16613641
A/Victoria/5224/2022,EPI_ISL_16613640
A/Tasmania/359/2022,EPI_ISL_16613642
A/Thailand/2194/2022,EPI_ISL_15288593
A/South Dakota/17/2023,EPI_ISL_17391859
A/Czech Republic/5701/2022,EPI_ISL_16978168
A/Montana/23/2023,EPI_ISL_17391861
A/New Jersey/04/2022,EPI_ISL_10828121
A/Ukraine/406/2022,EPI_ISL_14653728
A/Shanghai-Yangpu/1646/2022,EPI_ISL_16093943
A/Louisiana/09/2022,EPI_ISL_13284046
A/Zhejiang-Shangcheng/11000/2022,EPI_ISL_16093951
A/Sichuan-Jingyang/11678/2022,EPI_ISL_16093944
A/Yunnan-Chuxiong/1792/2022,EPI_ISL_16093946
A/Rhode Island/27/2022,EPI_ISL_13284062
A/Bahrain/2146/2022,EPI_ISL_14863093
A/SAINT-NAZAIRE/00444/2023,EPI_ISL_16757479
A/Nebraska/19/2022,EPI_ISL_13284048
A/BREST/15974/2023,EPI_ISL_18131722
A/India/Pune-NIVARI_22_31/2022,EPI_ISL_14836418
A/Rio Grande do Sul/4053/2023,EPI_ISL_18090805
A/Wisconsin/59/2022,EPI_ISL_15715018
A/Minas Gerais/848/2023,EPI_ISL_18090803
A/New Jersey/05/2022,EPI_ISL_11532936
A/Rio Grande do Sul/4058/2023,EPI_ISL_18090812
A/Norway/06303/2023,EPI_ISL_17980219
